,,,,,,,,,,,,,,
,-      MELON, tep kanji ,5,gr,-      PEPAYA,bayam,30,gr,,wortel,30,gr,,
,, saus tomat ,5,ml,,labu siam,30,gr,,bihun,"0,005",bks,,
,-    , tempe ,25,gr,TETP: TEMPE GORENG,kemangi,1,gr,,,,,,
,, wortel ,30,gr,,pepaya,125,gr,,,,,,
,, jagung manis ,30,gr,,tempe,25,gr,,,,,,
,, buncis ,30,gr,,,,,,,,,,
,, melon ,125,gr,,,,,,,,,,
," MINYAK,BUMBU,GULA,GARAM DAN BAHAN PENGEMAS",,1,paket," MINYAK,BUMBU,GULA,GARAM DAN BAHAN PENGEMAS",,1,paket," MINYAK,BUMBU,GULA,GARAM DAN BAHAN PENGEMAS",,1,paket,,
,,,,,,,,,,,,,,
,MAKANAN  BIASA,Beras,75,gr,MAKANAN  BIASA,Beras,75,gr,MAKANAN  BIASA,Beras,75,gr,,
,LUNAK,Beras,35,gr,LUNAK,Beras,35,gr,LUNAK,Beras,35,gr,,
,HALUS,Tepung beras,30,gr,HALUS,Tepung beras,30,gr,HALUS,Tepung beras,30,gr,,
III,BOLA TONGKOL GORENG PANIR ,tongkol,35,gr,KOLOKE AYAM SAUS ASAM MANIS ,ayam,65,gr,-      OSENG BAKSO,bakso,4,bh,,
,-      TEMPE BACEM REBUS,tepung panir,5,gr,-      PERKEDEL TAHU,tepung terigu,5,gr,"-      TEMPE GORENG TEPUNG (TEMPE DIIRIS TIPIS, 2 IRIS PER PORSI)",tempe,25,gr,,
,"-      ASEM KACANG PANJANG, KETIMUN",tepung terigu,"2,5",gr,"-      SOP BUNCIS, WORTEL, BUNGA KOL",tepung bumbu,"0,01",bks,-      CAH SAWI PUTIH +WORTEL (BERKUAH),tepung bumbu,"0,01",bks,,
,-      SEMANGKA,tempe,25,gr,-      PISANG AMBON,saus tomat,5,gr,,tepung terigu,"2,5",gr,,
,,kacang panjang,30,gr,,tahu,1,ptg,,sawi putih,30,gr,,
,-     ,ketimun,40,gr,TETP: SUSU MELON ,telur,1,gr,-       ,wortel,30,gr,,
,,semangka,125,gr,,buncis,30,gr,,,,,,
,,,,,,wortel,30,gr,,,,,,
,,,,,,bunga kol,30,gr,,,,,,
,,,,,,susu dancow,"7,5",gr,,,,,,
,,,,,,sirup melon,15,ml,,,,,,
,"MINYAK,BUMBU,GULA,GARAM DAN BAHAN PENGEMAS",,1,paket," MINYAK,BUMBU,GULA,GARAM DAN BAHAN PENGEMAS",,1,paket," MINYAK,BUMBU,GULA,GARAM DAN BAHAN PENGEMAS",,1,paket,,
,,,,,,,,,,,,,,
,MAKANAN  BIASA,Beras,75,gr,MAKANAN  BIASA,Beras,75,gr,MAKANAN  BIASA,Beras,75,gr,,
,LUNAK,Beras,35,gr,LUNAK,Beras,35,gr,LUNAK,Beras,35,gr,,
,HALUS,Tepung beras,30,gr,HALUS,Tepung beras,30,gr,HALUS,Tepung beras,30,gr,,
,-      AYAM PANGGANG BUMBU MERAH,ayam,85,gr,-   SUP DAGING+ KACANG MERAH+WORTEL,daging sapi,40,gr,-      KARE TONGKOL (KUAH),tongkol,30,gr,,
IV,-      DADAR JAGUNG,jagung manis,20,gr,-   PERKEDEL KENTANG,kacang merah,5,gr,-      TAHU KRISPI,tahu,1,ptg,,
,"-      BENING BAYAM, LABU SIAM,KEMANGI",tepung terigu,"2,5",gr,-   PEPAYA,wortel,30,gr,-      TUMIS BUNCIS WORTEL (POTONG KOREK API),tepung bumbu,"0,01",gr,,
,-      MELON,bayam,30,gr,,kentang,30,gr,,tepung terigu,"2,5",gr,,
,-    ,labu siam,30,gr,TETP: TELUR REBUS (1/2),pepaya,125,gr,-       ,buncis,30,gr,,
,,kemangi,1,gr,,telur rebus,30,gr,,wortel,30,gr,,
,,melon,125,gr,,,,,,,,,,
,"MINYAK,BUMBU,GULA,GARAM DAN BAHAN PENGEMAS",,1,paket," MINYAK,BUMBU,GULA,GARAM DAN BAHAN PENGEMAS",,1,paket," MINYAK,BUMBU,GULA,GARAM DAN BAHAN PENGEMAS",,1,paket,,
,,,,,,,,,,,,,,
,MAKANAN  BIASA,Beras,75,gr,MAKANAN  BIASA,Beras,75,gr,MAKANAN  BIASA,Beras,75,gr,,
,LUNAK,Beras,35,gr,LUNAK,Beras,35,gr,LUNAK,Beras,35,gr,,
,HALUS,Tepung beras,30,gr,HALUS,Tepung beras,30,gr,HALUS,Tepung beras,30,gr,,
V,"-      TELUR GULUNG (WORTEL, DAUN PREY )",telur,50,gr,-   AYAM OPOR PUTIH (KUAH),ayam,85,gr,"-      BAKSO SAYUR (BAKSO,WORTEL, SAWI HIJAU)",bakso,4,bh,,
,-      OSENG KENTANG+TEMPE KECAP,wortel,5,gr,"-   TAHU KRISPI (1 TAHU DIPOTONG JADI 3, DITEPUNG)",tahu,1,ptg,-      TAHU ISI AYAM GILING,wortel,30,gr,,
,"-      SUP WORTEL, GAMBAS, SUUN",kentang,10,gr,-   TUMIS BROKOLI WORTEL,tepung bumbu,"0,01",bks,,sawi hijau,30,gr,,
,-   MELON,tempe,20,gr,-      PISANG AMBON,tepung terigu,"2,5",gr,,tahu,1,ptg,,
,,wortel,30,gr,,brokoli,30,gr,,ayam giling,10,gr,,
,,gambas,30,gr,,wortel,30,gr,,tepung kanji,1,gr,,
,-       ,bihun,"0,005",bks,TETP: TELUR DADAR CETAK,pisang ambon,1,bh,,,,,,
,,melon,125,gr,,telur,30,gr,,,,,,
,,,,,,wortel,5,gr,,,,,,
,"MINYAK,BUMBU,GULA,GARAM DAN BAHAN PENGEMAS",,1,paket," MINYAK,BUMBU,GULA,GARAM DAN BAHAN PENGEMAS",,1,paket," MINYAK,BUMBU,GULA,GARAM DAN BAHAN PENGEMAS",,1,paket,,
,,,,,,,,,,,,,,
,MAKANAN  BIASA,Beras,75,gr,MAKANAN  BIASA,Beras,75,gr,MAKANAN  BIASA,Beras,75,gr,,
,LUNAK,Beras,35,gr,LUNAK,Beras,35,gr,LUNAK,Beras,35,gr,,
,HALUS,Tepung beras,30,gr,HALUS,Tepung beras,30,gr,HALUS,Tepung beras,30,gr,,
VI,-      TONGKOL SUWIR KEMANGI BB KUNING,tongkol,35,gr,-    CHICKEN KATSU,ayam,65,gr,"-      SOTO DAGING KENTANG, TAOGE PENDEK ",daging sapi,35,gr,,
,-   TAHU SAKURA GORENG TELUR,kemangi,1,gr,    SAUS ASAM MANIS,tepung panir,5,gr,-      TAHU KRISPI,kentang,25,gr,,
,"-      ASEM JAKARTA KACANG PANJANG, KETIMUN, KACANG TANAH",tahu ,1,ptg,-   OREK TEMPE  ,tepung terigu,"2,5",gr,,taoge pendek,10,gr,,
,-   SEMANGKA,telur,5,gr,"-   CAP CAY KUAH : BUNGA KOL, WORTEL, SAWI HIJAU",saus tomat,5,ml,,tahu,1,gr,,
,,wortel,30,gr,-      MELON,tempe,25,gr,,tepung bumbu,"0,01",bks,,
,,kacang panjang,30,gr,,wortel,30,gr,,tepung terigu,"2,5",gr,,
,-       ,ketimun,30,gr,TETP: TAHU GORENG,bunga kol,30,gr,,,,,,
,,kacang tanah,1,gr,,sawi hijau,30,gr,,,,,,
,,semangka,125,gr,,melon,125,gr,,,,,,
,,,,,,tahu,1,ptg,,,,,,
,"MINYAK,BUMBU,GULA,GARAM DAN BAHAN PENGEMAS",,1,paket," MINYAK,BUMBU,GULA,GARAM DAN BAHAN PENGEMAS",,1,paket," MINYAK,BUMBU,GULA,GARAM DAN BAHAN PENGEMAS",,1,paket,,
,,,,,,,,,,,,,,
,MAKANAN  BIASA,Beras,75,gr,MAKANAN  BIASA,Beras,75,gr,MAKANAN  BIASA,Beras,75,gr,,
,LUNAK,Beras,35,gr,LUNAK,Beras,35,gr,LUNAK,Beras,35,gr,,
,HALUS,Tepung beras,30,gr,HALUS,Tepung beras,30,gr,HALUS,Tepung beras,30,gr,,
VII,-      AYAM DADU+JAGUNG MANIS BB MERAH,ayam,65,gr,-      TELUR CEPLOK CETAK BUMBU BALI,telur ayam,65,gr,-   TONGKOL GORENG TEPUNG,tongkol,35,gr,,
,-      TEMPE BACEM GORENG,jagung manis,30,gr,-      TAHU GORENG,tahu,1,ptg, KARE TEMPE (KUAH),tepung bumbu,"0,01",bks,,
,"-      KARE LABU SIAM, WORTEL",tempe,25,gr,"-      BENING BAYAM, TAOGE PANJANG",bayam,30,gr,-    CAH KACANG PANJANG+JAGUNG MANIS,tepung terigu,"2,5",gr,,
,-      PISANG AMBON,labu siam,30,gr,-    PEPAYA,taoge panjang,20,gr,,Tempe,25,gr,,
,,wortel,30,gr,,pepaya,125,gr,,kacang panjang,30,gr,,
,,pisang ambon,1,bh,TETP: TEMPE BUMBU BALI,tempe,25,gr,,jagung manis,30,gr,,
,"MINYAK,BUMBU,GULA,GARAM DAN BAHAN PENGEMAS",,1,paket," MINYAK,BUMBU,GULA,GARAM DAN BAHAN PENGEMAS",,1,paket," MINYAK,BUMBU,GULA,GARAM DAN BAHAN PENGEMAS",,1,paket,,
,,,,,,,,,,,,,,
,MAKANAN  BIASA,Beras,75,gr,MAKANAN  BIASA,Beras,75,gr,MAKANAN  BIASA,Beras,75,gr,,
,LUNAK,Beras,35,gr,LUNAK,Beras,35,gr,LUNAK,Beras,35,gr,,
,HALUS,Tepung beras,30,gr,HALUS,Tepung beras,30,gr,HALUS,Tepung beras,30,gr,,
VIII,-      DAGING TERIYAKI (TABUR WIJEN),daging sapi,40,,-      AYAM SUWIR BB MERAH,ayam,65,gr,-    TELUR CETAK BUMBU  KARE,telur,65,gr,,
,-      PERKEDEL TAHU,tahu,1,ptg,-      OREM TEMPE,tempe,25,gr,-    TAHU BACEM,tahu,1,ptg,,
,"-      SUP BUNCIS, WORTEL, KENTANG",Tepung kanji,"2,5",gr,"-      SAYUR ASEM KAC.PJG, LABU SIAM",kacang panjang ,30,gr,"-    BENING BAYAM, GAMBAS ",bayam,30,gr,,
,-      SEMANGKA,telur,2,gr,-      MELON,labu siam,30,gr,,gambas,30,gr,,
,,buncis,30,gr,,melon,125,gr,,,,,,
,-       ,wortel,30,gr,TETP: SUSU COCOPANDAN,susu dancow,"7,5",gr,,,,,,
,,kentang,30,gr,,sirup,15,ml,,,,,,
,,semangka,125,gr,,,,,,,,,,
,"MINYAK,BUMBU,GULA,GARAM DAN BAHAN PENGEMAS",,1,paket," MINYAK,BUMBU,GULA,GARAM DAN BAHAN PENGEMAS",,1,paket," MINYAK,BUMBU,GULA,GARAM DAN BAHAN PENGEMAS",,1,paket,,
,,,,,,,,,,,,,,
,MAKANAN  BIASA,Beras,75,gr,MAKANAN  BIASA,Beras,75,gr,MAKANAN  BIASA,Beras,75,gr,,
,LUNAK,Beras,35,gr,LUNAK,Beras,35,gr,LUNAK,Beras,35,gr,,
,HALUS,Tepung beras,30,gr,HALUS,Tepung beras,30,gr,HALUS,Tepung beras,30,gr,,
IX,-      SOTO AYAM +,ayam,65,gr,-    PEPES TONGKOL,tongkol,30,gr,-      LAPIS DAGING,daging sapi,40,gr,,
,KENTANG+ TAOGE PENDEK,kentang,30,gr,-   KARE TAHU (KUAH) ,tahu,1,ptg,-      PERKEDEL TAHU GORENG,tahu,1,ptg,,
,-      TEMPE GORENG TEPUNG,taoge pendek,25,gr,-   OSENG LABU SIAM +JAGUNG MANIS (POTONG KOREK API),labu siam,30,gr,"-      SUP : BUNCIS, WORTEL, MAKARONI",Tepung kanji,"2,5",gr,,
,-      PISANG AMBON,tempe,25,gr,-   PEPAYA,jagung manis,30,gr,,telur,2,gr,,
,,tepung bumbu,"0,01",bks,,pepaya,125,gr,,buncis,30,gr,,
,,tepung terigu,"2,5",gr,,tempe,25,gr,,wortel,30,gr,,
,-       ,pisang,1,gr,TETP: KARE TEMPE,,,,-       ,makaroni,1,gr,,
,"MINYAK,BUMBU,GULA,GARAM DAN BAHAN PENGEMAS",,1,paket," MINYAK,BUMBU,GULA,GARAM DAN BAHAN PENGEMAS",,1,paket," MINYAK,BUMBU,GULA,GARAM DAN BAHAN PENGEMAS",,1,paket,,
,,,,,,,,,,,,,,
,MAKANAN  BIASA,Beras,75,gr,MAKANAN  BIASA,Beras,75,gr,MAKANAN  BIASA,Beras,75,gr,,
,LUNAK,Beras,35,gr,LUNAK,Beras,35,gr,LUNAK,Beras,35,gr,,
,HALUS,Tepung beras,30,gr,HALUS,Tepung beras,30,gr,HALUS,Tepung beras,30,gr,,
X,-      ROLLADE AYAM SAOS ASAM MANIS, ayam ,40,gr,-      TONGKOL GORENG TEPUNG,tongkol,30,gr,-  TELUR CETAK BB KECAP,telur,65,gr,,
,-      TUMIS TEMPE, telur ,15,gr,-      TAHU BACEM REBUS,tepung bumbu,5,gr,-  TEMPE GORENG TEPUNG,tempe,25,gr,,
,-      SUP WORTEL +JAGUNG MANIS +BUNCIS, tep panir ,5,gr,"-      ASEM JAKARTA KACANG PANJANG, LABU SIAM, KACANG TANAH",tepung terigu,"2,5",gr,"-  SUP SAWI PUTIH, WORTEL ",tepung bumbu,"0,01",bks,,
,-      SEMANGKA,tep kanji,5,gr,-      PISANG AMBON,kacang panjang,30,gr,,tepung terigu,"2,5",gr,,
,, tempe ,25,gr,,labu siam,30,gr,,sawi putih,30,gr,,
,, wortel ,30,gr,TETP: TEMPE BACEM,kacang tanah,1,gr,,wortel,30,gr,,
,, jagung manis ,30,gr,,pisang ambon,1,bh,,,,,,
,, buncis ,30,gr,,tempe,25,gr,,,,,,
,, semangka ,125,gr,,,,,,,,,,
,"MINYAK,BUMBU,GULA,GARAM DAN BAHAN PENGEMAS",,1,paket," MINYAK,BUMBU,GULA,GARAM DAN BAHAN PENGEMAS",,1,paket," MINYAK,BUMBU,GULA,GARAM DAN BAHAN PENGEMAS",,1,paket,,
,,,,,,,,,,,,,,
,MAKANAN  BIASA,Beras,75,gr,MAKANAN  BIASA,Beras,75,gr,MAKANAN  BIASA,Beras,75,gr,,
,LUNAK,Beras,35,gr,LUNAK,Beras,35,gr,LUNAK,Beras,35,gr,,
,HALUS,Tepung beras,30,gr,HALUS,Tepung beras,30,gr,HALUS,Tepung beras,30,gr,,
XI,-      BAKSO IRIS TUMIS KECAP,bakso,4,bh,AYAM SAUS INGGRIS,ayam,85,gr,-      KARE TONGKOL,tongkol,30,gr,,
,-      TAHU SAKURA GORENG TELUR,tahu,1,ptg,-      TEMPE GORENG TEPUNG,tempe ,25,gr,-      CAH TAHU,tahu,1,ptg,,
,"-      BENING GAMBAS, WORTEL",telur,5,gr,"-      SUP SAWI IJO, WORTEL, BUNGA KOL",tepung bumbu,"0,01",bks,"BUNCIS,  WORTEL (1 TAHU DIPOTONG JADI 3, WORTEL POTONG MEMANJANG",buncis,30,gr,,
,-      PISANG AMBON,wortel,30,gr,-      PEPAYA,tepung terigu,"2,5",gr,/KOREK),wortel,30,gr,,
,,gambas,30,gr,,sawi ijo,30,gr,,,,,,
,-       ,pisang ambon,1,bh,TETP: TAHU GORENG ,wortel,30,gr,,,,,,
,,,,,,bunga kol,30,gr,,,,,,
,,,,,,pepaya,125,gr,,,,,,
,,,,,,tahu,1,ptg,,,,,,
,"MINYAK,BUMBU,GULA,GARAM DAN BAHAN PENGEMAS",,1,paket," MINYAK,BUMBU,GULA,GARAM DAN BAHAN PENGEMAS",,1,paket," MINYAK,BUMBU,GULA,GARAM DAN BAHAN PENGEMAS",,1,paket,,
